amfi_code,3yr_CAGR,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,cagr_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
120505,51.63892474227718,1.1801011976606495,0.2782488641014737,2.4757676750530852e-05,-0.18188513572116294,1.36,1.0,0.9,0.9,0.65,0.625,86.5
119598,50.96321437793401,0.9453082575156093,0.29514293226849303,1.291356916117053e-05,-0.2870600572176455,1.43,0.975,0.675,0.95,0.5,0.9,81.625
149324,50.73573051158484,0.9497958246616031,0.29600297161636324,8.47080018576275e-06,-0.31171900300634214,1.52,0.95,0.7,1.0,0.3625,0.925,80.6875
148567,48.54611413352921,1.4482911703262595,0.2789001823813178,-1.4324631583039159e-05,-0.11265729075028275,1.46,0.9,1.0,0.925,0.45,0.2,79.25
100033,47.13283804279478,1.0936987435346308,0.26513763294976106,1.1985236809574379e-05,-0.16217208574644848,1.38,0.85,0.85,0.875,0.6,0.5,78.25
120843,48.43526131588292,1.3067439695428407,0.2606925857404761,2.047057602522599e-05,-0.1297396816518679,1.45,0.875,0.975,0.85,0.475,0.325,78.0
148569,50.17137408003938,1.2349300257743296,0.2958614509435513,-2.1656877854961704e-05,-0.1639674294693263,1.6,0.925,0.95,0.975,0.1125,0.525,77.9375
119094,43.978467938224284,0.9982309868636414,0.2548627791767758,6.643386581459513e-06,-0.20960883862039192,1.38,0.8,0.75,0.8,0.6,0.7,74.75
119551,40.02736083996587,1.2082665673727175,0.22214234762121443,1.5281716990304776e-05,-0.1501238549864533,1.54,0.775,0.925,0.775,0.2625,0.425,70.0625
118632,37.171571434369,1.0816591793457044,0.21723783012188072,1.373547314333286e-06,-0.17414075086657232,1.51,0.75,0.825,0.75,0.4125,0.575,70.0625
149323,46.23481150011528,1.1321218524747245,0.2602038354528086,9.804700282826484e-06,-0.17248105753451382,1.61,0.825,0.875,0.825,0.075,0.55,69.75
120504,35.949932050849156,1.0265242847993004,0.20293451322522393,1.6351469881022268e-05,-0.12588275606922517,0.8,0.7,0.775,0.675,0.725,0.3,67.75
119552,33.09585343291288,0.9532794968660103,0.19184076651254145,1.038231715668372e-05,-0.11803493502764295,0.66,0.65,0.725,0.65,0.925,0.275,67.25
148568,34.69327804981022,0.9262873467360146,0.21291563403491554,-8.58967864389171e-06,-0.1527259422823477,1.52,0.675,0.65,0.725,0.3625,0.475,61.1875
101206,36.343461389184824,1.0272133278753697,0.2084638832063513,1.0627032523163573e-05,-0.11291596329323073,1.6,0.725,0.8,0.7,0.1125,0.225,59.6875
125497,29.089391812506783,0.7757902498211207,0.16952468319957453,1.5941998836259097e-05,-0.15200013055606398,0.92,0.625,0.575,0.575,0.675,0.45,59.25
118633,24.748801080643744,0.6452074382933215,0.15950537219038657,-7.209270949273594e-06,-0.18629743138595511,0.72,0.475,0.5,0.525,0.8875,0.65,57.0625
120503,28.71977519716802,0.7979728586052847,0.17479241469306583,1.7216209032625307e-06,-0.13897862823061635,1.42,0.6,0.6,0.6,0.525,0.35,56.375
120506,26.02640313458462,0.6488787755249532,0.16866032864830816,-8.306621887534871e-06,-0.1982565826298267,1.41,0.55,0.525,0.55,0.55,0.675,55.625
118635,24.250351487170498,0.6648569985490619,0.15245254378469922,-1.947603308458264e-06,-0.1165062450540909,0.89,0.45,0.55,0.475,0.7,0.25,49.75
118634,24.905009183643667,0.4484340089089914,0.1785503092443308,-6.166188152948205e-07,-0.2334488614483311,1.53,0.5,0.375,0.625,0.3125,0.8,49.5625
102885,27.84197053352988,0.8170993373494368,0.1532967338395749,2.8517447224854604e-05,-0.1085986215250232,1.57,0.575,0.625,0.5,0.175,0.175,47.25
125498,17.003556518261355,0.3006119210425478,0.11066738696945455,1.6332602655172025e-05,-0.21117279560132118,0.78,0.375,0.35,0.375,0.775,0.725,46.375
102887,25.641817181870262,0.6195175900829828,0.14810164144013635,2.496454155362044e-05,-0.21539827112383225,1.64,0.525,0.475,0.45,0.0375,0.75,44.6875
119093,11.792848617173245,0.12961449795669325,0.07610567876572961,1.2063897153168876e-05,-0.21751396370148224,0.75,0.325,0.3,0.325,0.825,0.775,43.875
101207,11.855469085475768,0.1626607692864677,0.1098614502198355,-4.983428560767372e-06,-0.3544691649336603,1.53,0.35,0.325,0.35,0.3125,0.95,39.8125
120841,20.458183813898856,0.49427253786723496,0.12420932914141217,1.2613604771213129e-05,-0.1757361416468729,1.59,0.425,0.425,0.4,0.15,0.6,39.625
149322,20.24205635316143,0.4640374492204777,0.1403420187705693,-1.5013454919186099e-05,-0.14844576917771746,1.54,0.4,0.4,0.425,0.2625,0.4,38.4375
120507,10.791369741801704,0.4957233929533124,0.06718957546161722,4.449428664877672e-07,-0.0009773140045925555,0.74,0.3,0.45,0.225,0.85,0.025,37.75
119599,3.027445550195118,-0.05718662582817997,0.05145864988150831,-1.2492135147121962e-06,-0.5257422117012851,0.72,0.075,0.225,0.125,0.8875,1.0,33.6875
120842,9.980188140236823,0.07599984804658917,0.07467924324308287,6.7390087380760554e-06,-0.24003511326274884,1.56,0.25,0.275,0.3,0.2,0.825,31.625
120844,10.303420960397913,-0.08874729621557331,0.06440459165072564,2.403830471753157e-07,-0.0011629327956168556,0.6,0.275,0.175,0.2,0.95,0.05,31.375
119095,2.239300143779821,-0.07597357117478923,0.06797553326037893,-3.784762302465429e-05,-0.5167775370852656,1.38,0.05,0.2,0.25,0.6,0.975,30.25
118636,7.89344227876172,-0.356629507514368,0.04967364033576464,1.9126273256511134e-06,-0.08316361763638702,0.55,0.15,0.075,0.1,1.0,0.15,24.875
119120,8.754731234658863,-0.22657538662791596,0.05669673512017863,-1.1776029814946311e-06,-0.04328728923970093,0.77,0.175,0.1,0.15,0.8,0.125,24.0
101208,9.689294985980812,-0.8155673679088278,0.06122876973199783,-6.172389506592557e-07,-0.0016224980244717857,0.79,0.225,0.025,0.175,0.75,0.075,22.875
100025,6.605771836761831,-0.5670947928476847,0.044818315138583635,-3.377071812714398e-06,-0.04308263824636349,0.56,0.125,0.05,0.075,0.975,0.1,22.125
119092,9.476342371153068,0.030784850954585913,0.07280688625534465,-6.036840596409496e-06,-0.1440161790933726,1.64,0.2,0.25,0.275,0.0375,0.375,22.0625
100016,3.891150509722663,-0.2015170675596694,0.03766095903586523,-3.399716432309402e-06,-0.24734440880673303,1.55,0.1,0.15,0.05,0.225,0.85,19.625
102886,1.7231408330921072,-0.20583160785470314,0.03192179022619045,-7.3023823435524135e-06,-0.2800112356639287,1.51,0.025,0.125,0.025,0.4125,0.875,19.3125
